Property Address,Property City,Property Zip Code,Sale Date,Sale_Price,PropertyType,Cap_Rate,Bldg SF,Floor Area Ratio,Building Class,Building Condition,BuildingMaterials,Year Built,Number Of Units,Longitude,Latitude
1545 N 1st St,San Jose,95112,12/19/2011,6500000,Multi-Family,5.72,35112,0.660707901,C,Other,WoodFrame,1953,48,-121.911395,37.363699
524 E Maude Ave,Sunnyvale,94085,10/19/2011,6090000,Multi-Family,5.24,24000,0.377869446,C,Other,WoodFrame,1958,42,-122.0199982,37.3854012
3560 Jamison Way,Castro Valley,94546,3/23/2012,6000000,Multi-Family,5.5,51450,0.803604898,C,Other,Masonry,1971,33,-122.0760799,37.698803
3800-3850 Vineyard Ave,Pleasanton,94566,12/20/2011,5700000,Multi-Family,11.49,33740,0.265153599,C,Other,WoodFrame,1964,52,-121.862278,37.662674
1400 McAllister St,San Francisco,94115,1/5/2012,5500000,Multi-Family,5.6,15600,2.558215808,C,Other,Unknown,1928,18,-122.4353046,37.7784622
3500 Market St,San Francisco,94131,1/20/2012,5300000,Multi-Family,5.25,15348,1.930808907,C,Other,WoodFrame,1961,17,-122.4422407,37.7563874
1737 Jackson St,San Francisco,94109,12/5/2011,4999000,Multi-Family,5,15621,2.176232934,C,Other,Unknown,1964,21,-122.4238085,37.7935921
1331 Jefferson Ave,Redwood City,94062,12/1/2011,4800000,Multi-Family,5.16,34300,1.988521074,C,Other,WoodFrame,1963,30,-122.231871,37.4812481
466 S 5th St,San Jose,95112,4/10/2012,4800000,Multi-Family,6.3,21811,0.800521177,C,Other,WoodFrame,1899,35,-121.880813,37.331384
435-437 Hayes St,San Francisco,94102,3/16/2012,4750000,Multi-Family,6.47,11880,2.841425496,C,Good,WoodFrame,1907,20,-122.4235957,37.7765968
266 Adams St,Oakland,94610,1/27/2012,4600000,Multi-Family,5.09,33159,1.726222083,C,Other,Masonry,1968,37,-122.257263,37.813305
1202-1216 Leavenworth St,San Francisco,94109,3/27/2012,4592800,Multi-Family,4.9,15961,2.142991407,B,Other,WoodFrame,1910,14,-122.4158071,37.7922883
2852 California St,San Francisco,94115,3/27/2012,4530000,Multi-Family,4.5,14150,2.707097762,C,Other,WoodFrame,1915,15,-122.4414523,37.7882234
3081 N Main St,Walnut Creek,94597,1/31/2012,4433000,Multi-Family,4.81,23376,0.480997551,B,Other,WoodFrame,1965,32,-122.06182,37.930536
845 5th Ave,San Rafael,94901,2/21/2012,4350000,Multi-Family,5.92,22500,1.793543244,C,Other,Unknown,1929,20,-122.5257028,37.9735641
7555 Geary Blvd,San Francisco,94121,11/30/2011,4275000,Multi-Family,5.21,17802,2.270663265,C,Other,WoodFrame,1962,18,-122.5006513,37.779065
801 Alvarez Ave,Pinole,94564,12/1/2011,4250000,Multi-Family,9.25,45450,0.480825179,B,Other,WoodFrame,1965,52,-122.2944721,38.0026325
1235 Bay St,San Francisco,94123,12/30/2011,4250000,Multi-Family,5.46,13300,1.935108395,C,Other,WoodFrame,1923,13,-122.427398,37.803562
1133-1143 Taylor St,San Francisco,94108,11/2/2011,4225000,Multi-Family,4.88,14040,2.925,C,Other,WoodFrame,1908,10,-122.4129714,37.7931094
1090 Francisco St,San Francisco,94109,2/10/2012,4200000,Multi-Family,4.45,10950,2.191753403,B,Other,Unknown,1926,18,-122.4231305,37.8037067
2173 California St,San Francisco,94115,1/19/2012,4115000,Multi-Family,6.04,8745,2.321475976,C,Other,WoodFrame,1965,9,-122.4300454,37.7890871
970 Geary St,San Francisco,94109,1/19/2012,4054635,Multi-Family,5.52,19680,1.929222625,B,Other,WoodFrame,1922,39,-122.4192303,37.7861673
464 43rd Ave,San Francisco,94121,5/1/2012,4050000,Multi-Family,5.64,12765,2.458590139,C,Other,WoodFrame,1927,18,-122.5038746,37.7799438
1580 Filbert St,San Francisco,94123,11/29/2011,3925000,Multi-Family,4.36,12690,2.538,C,Other,WoodFrame,1924,15,-122.4255685,37.7994658
943 Jackson St,San Francisco,94133,11/1/2011,3900000,Multi-Family,7.46,15180,2.084305918,C,Other,WoodFrame,1900,12,-122.4106891,37.7953842
3730 Scott St,San Francisco,94123,3/9/2012,3900000,Multi-Family,4.2,11622,2.425798372,C,Other,WoodFrame,1928,12,-122.4416745,37.804232
102 Locksley Ave,San Francisco,94122,11/10/2011,3875000,Multi-Family,4.87,15435,1.429431376,C,Other,WoodFrame,1974,18,-122.4629769,37.7584574
1704 Clayton Rd,Concord,94520,12/28/2011,3825000,Multi-Family,6.7,56799,1.310756237,C,Other,Masonry,1969,40,-122.039901,37.971797
942 Antoinette Ln,South San Francisco,94080,4/30/2012,3800000,Multi-Family,6.83,23560,1.095762988,C,Good,Unknown,1965,24,-122.433816,37.656717
3321-3325 Steiner St,San Francisco,94123,11/8/2011,3750000,Multi-Family,5.12,8220,2.19434063,B,Other,WoodFrame,1926,15,-122.4380065,37.7999594
681 Cedar St,San Carlos,94070,12/12/2011,3500000,Multi-Family,7.03,16033,1.092240616,C,Other,ReinforcedConcrete,1970,14,-122.2633889,37.5028031
2070 Fell St,San Francisco,94117,3/26/2012,3500000,Multi-Family,5.4,12036,1.648767123,C,Other,Unknown,1925,12,-122.4519414,37.7724202
1751 Pacific Ave,San Francisco,94109,2/15/2012,3450000,Multi-Family,4.92,10926,2.231617647,C,Other,WoodFrame,1963,12,-122.4241935,37.7945598
2065 Oak St,San Francisco,94117,1/31/2012,3402000,Multi-Family,5.3,12300,1.764959105,C,Other,Unknown,1927,18,-122.4533451,37.7708436
1815 Broadway St,San Francisco,94109,3/9/2012,3400000,Multi-Family,4.87,8005,1.021045918,C,Other,ReinforcedConcrete,1912,10,-122.42744,37.7950316
2401 Carlmont Dr,Belmont,94002,4/5/2012,3400000,Multi-Family,5.02,17478,0.824784106,C,Other,WoodFrame,1961,16,-122.2994333,37.5092365
4740 Balboa St,San Francisco,94121,1/13/2012,3325000,Multi-Family,5.49,23792,4.762209768,B,Poor,Unknown,1928,33,-122.5097902,37.7753821
219 Ramona St,Palo Alto,94301,4/13/2012,3260000,Multi-Family,4.87,4745,0.895114129,B,Other,WoodFrame,1893,11,-122.1653785,37.4475958
230 E San Salvador St,San Jose,95112,4/10/2012,3180000,Multi-Family,5.99,16000,2.324905551,C,Other,WoodFrame,1960,14,-121.880968,37.332122
500-504 Page St,San Francisco,94117,3/7/2012,3169000,Multi-Family,6.52,11130,3.703826955,C,Other,WoodFrame,1900,8,-122.4292065,37.7734284
250 Vera Ave,Redwood City,94061,2/8/2012,3165000,Multi-Family,5.3,15700,0.854096399,C,Other,WoodFrame,1959,19,-122.229866,37.479294
5050 Fulton St,San Francisco,94121,4/13/2012,2950000,Multi-Family,3.5,12600,2.629931121,C,Other,Unknown,1937,15,-122.4860764,37.7726445
412-420 Norfolk Dr,Pacifica,94044,12/5/2011,2945000,Multi-Family,5.79,20184,0.634756903,C,Other,Unknown,1965,18,-122.481553,37.6495415
1308 Palos Verdes Dr,San Mateo,94403,3/22/2012,2910000,Multi-Family,4.74,12018,0.855800043,C,Other,Unknown,1964,12,-122.3269789,37.5317132
