Property: Property Name,Prop City,Prop County,Last Sale,Last Price,Est. Sale Cap,Units,# 1 Bedrooms,# 2 Bedrooms,# 3 Bedrooms,Square Footage,Year Built,Prop Zip Code
312 Lee St,Oakland,Alameda,5/9/2013,870000,5.21,5,5,0,0,4076,1916,94610
1903 Middlefield Rd,Redwood City,San Mateo,9/6/2016,3150000,5.2,10,9,1,0,8116,1961,94063
3615 Martin Luther King Jr Way,Oakland,Alameda,5/5/2017,1385000,5.2,6,0,6,0,9576,1963,94609
1190 Ralston Ave,Belmont,San Mateo,6/28/2013,2525000,5.19,8,6,2,0,8598,1964,94002
203-207 Stambaugh St,Redwood City,San Mateo,10/29/2014,1790000,5.19,5,0,3,2,5540,1906,94063
565 Saratoga Ave,Santa Clara,Santa Clara,1/10/2014,3425000,5.19,16,14,2,0,11084,1969,95050
100 Larissa Ln,Vallejo,Solano,6/25/2015,21150000,5.19,184,60,124,0,151720,1986,94590
1285 Montecito Ave,Mountain View,Santa Clara,8/28/2012,12455000,5.18,58,28,0,0,40240,1965,94043
3218 Yosemite Ave,El Cerrito,Contra Costa,12/27/2013,1468000,5.18,10,8,2,0,7900,1957,94530
811-819 Macarthur Blvd,Oakland,Alameda,11/9/2012,875000,5.18,5,0,4,0,5658,1921,94610
1234 Valencia St,San Francisco,San Francisco,5/7/2013,2650000,5.18,9,5,0,0,6090,1904,94110
691 Spruce St,Half Moon Bay,San Mateo,10/31/2014,1900000,5.17,5,2,2,1,10308,1979,94019
Blossom Manor,Hayward,Alameda,1/29/2016,8400000,5.16,57,57,0,0,27884,1958,94541
1101 Phelps St,San Francisco,San Francisco,4/16/2013,1225000,5.16,6,6,0,0,6640,1910,94124
763 Blossom Way,Hayward,Alameda,1/29/2016,8400000,5.16,57,57,0,0,27884,1958,94541
6895 Princevalle St,Gilroy,Santa Clara,5/11/2016,1350000,5.15,6,0,6,0,4862,1984,95020
482 40th St,Oakland,Alameda,2/28/2017,5610000,5.13,24,12,6,0,15036,1918,94609
333 Dumont Ave,Hayward,Alameda,7/30/2014,890000,5.13,6,2,4,0,4144,1962,94544
318 Dumont Ave,Hayward,Alameda,7/30/2014,890000,5.13,6,2,4,0,4180,1962,94544
2149 Monroe St,Santa Clara,Santa Clara,7/31/2013,2600000,5.13,12,12,0,0,9220,1961,95050
255 El Camino Real,Burlingame,San Mateo,4/12/2013,9605000,5.12,30,22,4,0,36320,1963,94010
4 Coleman Pl,Menlo Park,San Mateo,6/13/2013,1600000,5.12,5,1,4,0,4856,1956,94025
460 N Winchester Blvd,Santa Clara,Santa Clara,5/8/2014,3045000,5.11,14,4,4,0,7800,1958,95050
336 N 5th St,San Jose,Santa Clara,12/23/2014,2180000,5.1,10,9,1,0,5515,1957,95112
537 Mandana Blvd,Oakland,Alameda,8/13/2013,1066500,5.1,6,5,1,0,4000,1924,94610
1730 Lacassie Ave,Walnut Creek,Contra Costa,7/31/2013,3301000,5.1,16,11,4,0,11118,1964,94596
450 N Winchester Blvd,Santa Clara,Santa Clara,5/16/2014,1525000,5.1,7,5,2,0,4143,1955,95050
401 Briar Ridge Dr,San Jose,Santa Clara,12/11/2014,118000000,5.09,324,90,210,24,323496,1995,95123
333 Escuela Ave,Mountain View,Santa Clara,5/31/2013,51425000,5.09,142,69,73,0,164286,1970,94040
2417 Ivy Dr,Oakland,Alameda,9/22/2014,890000,5.09,5,1,4,0,4134,,94606
55 Evandale Ave,Mountain View,Santa Clara,3/11/2014,7220000,5.08,33,26,7,0,16406,1956,94043
120 Buena Vida Ct,Sonoma,Sonoma,1/15/2015,1498000,5.08,10,5,5,0,8888,,95476
La Vina Apartments,Livermore,Alameda,7/25/2012,26000000,5.07,104,0,72,0,99064,1994,94550
216 Grove Way,Hayward,Alameda,7/24/2013,750000,5.07,5,0,5,0,4448,1955,94541
2315 Fairway Dr,San Leandro,Alameda,3/20/2013,1350000,5.07,9,0,7,2,9889,1972,94577
355 Kiely Blvd,San Jose,Santa Clara,9/30/2013,290400000,5.06,948,150,706,64,950000,1970,95129
3267 19th St,San Francisco,San Francisco,3/3/2015,1415000,5.06,6,6,0,0,4386,1900,94110
461 Cane St,Larkspur,Marin,4/5/2013,2373000,5.05,10,2,1,0,8972,1969,94939
4904 Hwy 12,Santa Rosa,Sonoma,12/2/2013,905000,5.04,6,0,6,0,5226,1973,95409
696 Towle Way,Palo Alto,Santa Clara,10/16/2013,17800000,5.04,42,14,14,14,101186,1965,94306
1035 Adams St,Redwood City,San Mateo,10/9/2015,2600000,5.04,8,4,0,1,8500,1945,94061
661 Sylvan St,Daly City,San Mateo,5/12/2017,1300000,5.04,4,2,2,0,5682,1965,94014
3224 Briggs Ave,Alameda,Alameda,11/13/2013,1090000,5.02,6,0,5,1,4933,1980,94501
