Property: Property Name,Prop City,Prop County,Last Sale,Last Price,Est. Sale Cap,Units,# 1 Bedrooms,# 2 Bedrooms,# 3 Bedrooms,Square Footage,Year Built,Prop Zip Code
1459-1469 Kearny St,San Francisco,San Francisco,6/4/2014,3475000,3.09,9,9,0,0,6840,1906,94133
1770 San Miguel Dr,Walnut Creek,Contra Costa,5/17/2013,1475000,3.09,6,0,5,0,10540,1960,94596
992-998 Florida St,San Francisco,San Francisco,4/5/2016,2317000,3.09,6,0,6,0,5106,1900,94110
250 Connecticut St,San Francisco,San Francisco,10/9/2013,2050000,3.08,6,2,4,0,5556,1964,94107
95 Monroe St,Santa Clara,Santa Clara,7/27/2016,2900000,3.07,8,4,4,0,3621,1959,95050
1420 Alcatraz Ave,Berkeley,Alameda,12/18/2013,1475000,3.07,5,5,2,1,2759,1916,94702
551-555 Duboce Ave,San Francisco,San Francisco,10/2/2014,3510000,3.06,9,5,0,0,6006,1900,94117
Vista Del Lago,Concord,Contra Costa,9/27/2016,21000000,3.04,84,38,46,0,84939,1969,94520
2170 Filbert St,San Francisco,San Francisco,5/21/2014,7625100,3.04,12,10,2,0,11559,1929,94123
1018 Chula Vista Ave,Burlingame,San Mateo,5/30/2014,2702000,3.03,5,2,2,1,5055,1972,94010
201 Moraga St,San Francisco,San Francisco,7/2/2014,2085000,3.03,6,6,0,0,4080,1960,94122
3317 Kempton Ave,Oakland,Alameda,3/13/2017,2695000,3.03,9,8,1,0,9038,1964,94611
314 Perkins St,Oakland,Alameda,7/6/2016,10500000,3.02,35,18,11,0,32778,1972,94610
1424 E 31st St,Oakland,Alameda,1/22/2016,1200000,3.02,4,1,1,1,15588,1910,94602
2615 26th Ave,Oakland,Alameda,3/31/2016,3000000,3.02,10,0,10,0,6450,,94601
380 Bellevue Ave,Oakland,Alameda,4/8/2014,1500000,3.02,5,3,2,0,9430,1914,94610
633 Oak St,San Francisco,San Francisco,6/24/2015,2100000,3.01,6,6,0,0,5250,1908,94117
151 Oak Ave,Redwood City,San Mateo,1/29/2015,2175000,3.01,4,4,0,0,3870,1953,94061
5621 El Dorado Ave,El Cerrito,Contra Costa,6/19/2015,2785000,3,11,0,9,0,8632,1969,94530
1781 Sausal St,Oakland,Alameda,12/28/2012,1509000,3,5,1,9,0,4716,1964,94602
710 Nido Dr,Campbell,Santa Clara,9/20/2016,45050000,2.99,121,56,45,20,98166,1972,95008
994-998 Guerrero St,San Francisco,San Francisco,6/27/2014,6000000,2.98,15,7,0,0,10515,1905,94110
1027 Chula Vista Ave,Burlingame,San Mateo,5/7/2013,1100000,2.98,2,1,1,0,1500,,94010
616 S 8th St,San Jose,Santa Clara,5/8/2015,3000000,2.96,8,8,0,0,6792,1955,95112
1009 Kains Ave,Albany,Alameda,5/8/2015,1800000,2.96,7,6,0,1,4950,1963,94706
394 Orange St,Oakland,Alameda,3/30/2017,3685000,2.95,12,12,0,0,9560,1974,94610
1550 Ebener St,Redwood City,San Mateo,5/31/2016,4450000,2.94,8,7,1,0,6872,1958,94061
1406 Henry St,Berkeley,Alameda,11/6/2015,7459000,2.92,24,24,0,0,17904,1964,94709
164 23rd Ave,San Francisco,San Francisco,11/14/2012,2168000,2.91,6,4,0,2,4324,1964,94121
406 Athol Ave,Oakland,Alameda,4/16/2015,1250000,2.9,4,2,2,0,4328,1940,94606
2001 Aldengate Way,Hayward,Alameda,8/25/2015,2095000,2.9,8,0,8,0,8800,1966,94545
490 Walker Dr,Mountain View,Santa Clara,2/21/2017,5384500,2.89,14,6,4,0,17686,1971,94043
3035 Baker St,San Francisco,San Francisco,7/11/2014,8010000,2.89,12,12,0,0,11625,1927,94123
960 Harrison St,San Francisco,San Francisco,10/30/2012,4850000,2.89,4,0,4,0,8300,2013,94107
148 Roosevelt Ave,Redwood City,San Mateo,12/11/2013,2275000,2.88,4,3,1,0,3220,1951,94061
296 Higdon Ave,Mountain View,Santa Clara,10/14/2016,2700000,2.87,5,4,1,0,3227,1961,94041
2125 Santa Clara Ave,Alameda,Alameda,1/2/2015,2400000,2.85,9,5,4,0,8955,1951,94501
260 College Ave,Palo Alto,Santa Clara,12/12/2013,4500000,2.85,6,2,4,0,5069,1963,94306
641 Kirkland Dr,Sunnyvale,Santa Clara,9/30/2015,2350000,2.84,6,3,2,1,4884,1961,94087
584 Lassen St,Los Altos,Santa Clara,2/28/2013,2351000,2.84,6,5,1,0,4612,1960,94022
1523 8th Ave,Oakland,Alameda,9/7/2016,3212000,2.82,10,1,9,0,6523,,94606
1537 8th Ave,Oakland,Alameda,9/7/2016,3212000,2.82,10,1,9,0,6523,,94606
766 El Cerrito Way,Gilroy,Santa Clara,6/3/2014,2400000,2.82,7,0,6,1,6354,1969,95020
776 El Cerrito Way,Gilroy,Santa Clara,6/3/2014,2400000,2.82,7,0,6,1,6354,1969,95020
225 Union Ave,Campbell,Santa Clara,1/20/2016,99780000,2.81,252,204,48,0,197000,1968,95008
625 Laurel St,Redwood City,San Mateo,1/29/2016,3500000,2.81,6,5,0,0,3908,1954,94063
635 Laurel St,Redwood City,San Mateo,1/29/2016,3500000,2.81,6,3,1,0,3908,1954,94063
550 Buchanan St,San Francisco,San Francisco,9/16/2014,2250000,2.81,6,6,0,0,8475,1913,94102
1870 California St,Mountain View,Santa Clara,12/9/2016,6100000,2.8,11,6,5,0,9009,1964,94041
1601 Ontario Dr,Sunnyvale,Santa Clara,9/30/2015,3200000,2.78,8,3,4,1,6402,1963,94087
659 Kirkland Dr,Sunnyvale,Santa Clara,9/30/2015,4800000,2.78,12,0,10,2,11908,1969,94087
1180 Brace Ave,San Jose,Santa Clara,4/27/2016,4448000,2.75,11,2,7,2,10202,1964,95125
Oak Hill,Hayward,Alameda,2/25/2016,41000000,2.75,148,69,72,7,146052,,94544
46 Barneson Ave,San Mateo,San Mateo,8/4/2015,4187500,2.74,7,4,2,1,6836,1957,94402
425 Ranker Pl,Hayward,Alameda,12/30/2015,1665000,2.74,6,1,5,0,5918,,94544
Logan Park Apartments,Fremont,Alameda,8/3/2012,9975000,2.74,36,0,20,0,93714,1969,94536
1763 Fulton St,San Francisco,San Francisco,1/31/2014,2610000,2.74,6,0,6,0,5670,1904,94117
1445 Bellevue Ave,Burlingame,San Mateo,4/18/2014,6000000,2.73,10,9,1,0,8752,1926,94010
2244 Lakeshore Ave,Oakland,Alameda,11/18/2014,3650000,2.73,11,4,7,0,12556,1966,94606
1906 Jackson St,Oakland,Alameda,12/4/2015,5000000,2.72,15,12,0,0,15570,1923,94612
1522 Oxford St,Berkeley,Alameda,12/15/2016,1675000,2.71,5,2,0,1,3705,1923,94709
85 W 5th Ave,San Mateo,San Mateo,8/30/2012,93000000,2.71,154,35,66,32,190988,1973,94402
1471 Washington St,San Francisco,San Francisco,10/31/2014,5300000,2.7,12,12,0,0,10712,1907,94109
6900 Fulton St,San Francisco,San Francisco,12/9/2014,1950000,2.7,5,5,0,0,5125,1949,94121
627 41st Ave,San Francisco,San Francisco,3/25/2016,1950000,2.7,5,3,1,0,3414,1962,94121
1625 Larkin St,San Francisco,San Francisco,4/5/2016,2750000,2.68,7,0,7,0,7410,1909,94109
109 Liberty St,San Francisco,San Francisco,7/18/2016,2225000,2.68,5,3,0,0,3490,1900,94110
357 Hawthorne Ave,Palo Alto,Santa Clara,8/25/2015,4800000,2.67,6,5,0,1,5419,1959,94301
164 El Dorado Ave,Danville,Contra Costa,4/17/2015,2400000,2.66,7,2,4,1,6003,1986,94526
100 Broadway,,Santa Clara,5/27/2015,2100000,2.65,5,1,4,0,3608,1952,
43120 Starr St,Fremont,Alameda,11/7/2012,1150000,2.65,4,0,3,1,4348,1975,94539
435 S 6th St,San Jose,Santa Clara,8/7/2015,6700000,2.63,14,4,3,0,14440,1899,95112
640 Lakehaven Dr,Sunnyvale,Santa Clara,9/30/2016,3400000,2.62,8,6,2,0,5805,1938,94089
4188 Park Blvd,Oakland,Alameda,8/16/2016,5100000,2.62,13,12,0,0,9712,1907,94602
980-1030 Clyde Ave,Santa Clara,Santa Clara,8/18/2015,9381000,2.61,22,0,22,0,33862,1963,95054
653 Arguello Blvd,San Francisco,San Francisco,5/15/2015,2420000,2.61,6,0,6,0,4480,1967,94118
25897 Gading Rd,Hayward,Alameda,11/19/2013,2340000,2.6,8,0,8,0,6542,1961,94544
25891 Gading Rd,Hayward,Alameda,11/19/2013,2340000,2.6,8,0,8,0,6542,1961,94544
20 W 5th Ave,San Mateo,San Mateo,6/5/2013,1890000,2.6,3,0,3,0,4568,1958,94402
450-460 Laurel St,Menlo Park,San Mateo,8/16/2016,3800000,2.59,6,6,0,0,5459,1951,94025
2340 Lakeshore Ave,Oakland,Alameda,7/20/2012,1400000,2.59,4,3,1,0,4036,1918,94606
729 Roble Ave,Menlo Park,San Mateo,12/23/2013,2530000,2.59,4,0,4,0,4372,1956,94025
29 Lupine Ave,San Francisco,San Francisco,6/22/2012,2030000,2.59,5,4,0,0,4242,1951,94118
307 Lee St,Oakland,Alameda,11/10/2015,4200000,2.59,12,9,3,0,10628,1951,94610
564 University Dr,Menlo Park,San Mateo,5/16/2014,3805062,2.58,6,4,2,0,4551,1955,94025
1300 Haight St,San Francisco,San Francisco,12/20/2013,4900000,2.58,12,0,8,0,9995,1910,94117
581 Avalani Ave,San Jose,Santa Clara,7/30/2014,2599900,2.57,6,0,4,2,5366,1965,95133
587 Avalani Ave,San Jose,Santa Clara,7/30/2014,2599900,2.57,6,0,4,2,5366,1965,95133
22242-22258 N 6th St,Castro Valley,Alameda,12/1/2016,2365000,2.57,8,0,4,4,8854,1968,94546
735 Roble Ave,Menlo Park,San Mateo,12/23/2014,2550000,2.57,4,0,4,0,4340,1956,94025
929 Oak St,San Francisco,San Francisco,4/5/2016,3292000,2.56,8,8,0,0,5252,1963,94117
1240 21st Ave,San Francisco,San Francisco,4/5/2016,3292000,2.56,8,8,0,0,6478,1960,94122
33875 11th St,Union City,Alameda,12/18/2013,2385100,2.55,8,0,8,0,10514,1953,94587
865-881 E El Camino Real,,Santa Clara,12/9/2015,110000000,2.5,149,94,55,0,130000,,
50 Barbaree Way,Belvedere Tiburon,Marin,11/26/2013,138000000,2.47,284,124,110,50,277665,1963,94920
566 Vallejo St,San Francisco,San Francisco,9/30/2014,12463000,2.45,29,26,0,0,18369,1955,94133
15 Park Ave,Petaluma,Sonoma,2/1/2017,1550000,2.45,5,2,3,0,5600,1915,94952
106 18th Ave,San Francisco,San Francisco,8/4/2014,2160000,2.44,5,4,1,0,4688,1915,94121
300 Granada Dr,Mountain View,Santa Clara,3/18/2015,6416500,2.43,14,2,6,6,11116,1974,94043
Creekwood,Hayward,Alameda,9/29/2016,97400000,2.41,309,103,103,0,349239,1975,94541
1064 Dolores St,San Francisco,San Francisco,9/15/2014,5250000,2.41,12,9,3,0,10878,1964,94110
24 Kent Pl,Menlo Park,San Mateo,4/28/2015,4100000,2.4,6,4,2,0,4625,1955,94025
1046-1050 Pacific Ave,San Francisco,San Francisco,3/17/2016,4500000,2.39,9,3,5,0,6176,1900,94133
4379 Howe St,Oakland,Alameda,2/20/2015,1525000,2.38,4,4,0,0,3084,1921,94611
1625-1629 Silverado Trl,Napa,Napa,4/13/2016,1600000,2.38,5,0,5,0,4964,,94559
104 C St.,Petaluma,Sonoma,6/13/2014,32500000,2.35,43,12,13,0,70463,2003,94952
33862 14th St,Union City,Alameda,6/9/2015,1300000,2.34,4,0,4,0,9308,1965,94587
355-357 Grove St,San Francisco,San Francisco,3/31/2016,5860000,2.34,13,13,0,0,10128,1916,94102
3488 Agate Dr,Santa Clara,Santa Clara,2/18/2015,14250000,2.34,30,9,12,0,17560,1961,95051
191 Elm St,San Carlos,San Mateo,8/22/2014,3535000,2.32,5,3,2,0,4994,1954,94070
257 Elm St,San Carlos,San Mateo,8/22/2014,3535000,2.32,5,3,2,0,4994,1954,94070
223 Linda Ave,Piedmont,Alameda,9/28/2012,1310000,2.32,4,3,1,0,3450,1915,94611
230 E San Salvador St,San Jose,Santa Clara,8/7/2015,6700000,2.32,14,7,0,0,30440,1960,95112
960 Roble Ave,Menlo Park,San Mateo,6/11/2014,2825000,2.32,4,0,4,0,5444,1959,94025
155 Fair Oaks St,San Francisco,San Francisco,1/10/2013,2300000,2.29,5,3,1,0,4350,1910,94110
2130 Southwest Expy,San Jose,Santa Clara,2/26/2016,55500000,2.28,114,60,36,0,80145,1971,95126
2036 Klamath Ave,Santa Clara,Santa Clara,6/28/2016,3435500,2.26,7,0,6,1,6830,1970,95051
38631 Hastings St,Fremont,Alameda,1/29/2014,1350000,2.25,4,0,0,4,5216,1973,94536
605-611 Haight St,San Francisco,San Francisco,4/4/2014,3200000,2.24,6,0,4,0,7900,1900,94117
418-422 Upham St,Petaluma,Sonoma,11/30/2015,2445000,2.24,6,0,6,0,6600,1987,94952
4850 Hamilton Ave,San Jose,Santa Clara,4/1/2016,8000000,2.22,16,7,9,0,14562,1960,95130
630 S 8th St,San Jose,Santa Clara,5/8/2015,3000000,2.22,6,6,0,0,2118,1922,95112
172 Palm Ave,San Francisco,San Francisco,1/28/2014,2865000,2.21,6,4,2,0,5352,1919,94118
1441 Bellevue Ave,Burlingame,San Mateo,4/18/2014,6000000,2.18,8,5,1,0,7722,1936,94010
1201 S Main St,Milpitas,Santa Clara,12/18/2015,102000000,2.18,200,45,125,0,196000,,95035
848 Ashbury St,San Francisco,San Francisco,7/8/2014,2900000,2.18,6,5,0,0,6050,1926,94117
359 Green St,San Francisco,San Francisco,9/23/2014,5800000,2.18,12,10,2,0,9732,1954,94133
1433 Clay St,San Francisco,San Francisco,9/1/2015,7850000,2.15,16,3,13,0,15171,1909,94109
2537 Fulton St,Berkeley,Alameda,5/4/2016,3825000,2.13,9,0,8,0,6479,1925,94704
1485 Clay St,San Francisco,San Francisco,9/25/2015,6500000,2.11,13,11,0,0,12905,1910,94109
4244 Gilbert St,Oakland,Alameda,12/24/2014,2150000,2.11,5,2,1,2,5942,1950,94611
200 Bicentennial Way,Santa Rosa,Sonoma,3/31/2016,66377000,2.09,78,22,42,14,137000,2003,95403
4810 Hamilton Ave,San Jose,Santa Clara,4/1/2016,8000000,2.08,15,8,1,0,7818,1959,95130
1054 Sutter St,San Francisco,San Francisco,6/17/2016,4600000,2.06,9,6,2,0,6650,1909,94109
1824 Lakeshore Ave,Oakland,Alameda,11/17/2016,11000000,2.06,25,12,0,0,15135,1953,94606
350 Dunster Dr,Campbell,Santa Clara,1/29/2016,14000000,2.06,26,21,5,0,35754,1957,95008
1710 MLK,Berkeley,Alameda,2/2/2015,880000,2.06,2,2,0,0,1758,1911,94709
1304 Hyde St,San Francisco,San Francisco,8/4/2014,3100000,2.04,6,1,5,0,7818,1911,94109
2642 Gough St,San Francisco,San Francisco,3/26/2013,7650000,2.02,6,6,0,0,3864,3864,94123
575 Pierce St,San Francisco,San Francisco,1/15/2015,17800000,2.01,34,17,0,0,32400,1930,94117
2512-2520 Polk St,San Francisco,San Francisco,6/21/2016,2980000,2,5,0,5,0,5413,1907,94109
2501 Judah St,San Francisco,San Francisco,7/9/2013,3700000,1.99,7,6,0,0,6639,1964,94122
2505-2509 Judah St,San Francisco,San Francisco,7/9/2013,3700000,1.99,7,0,6,0,8744,1975,94122
350 Sharon Park Dr,Menlo Park,San Mateo,12/11/2015,245000000,1.98,296,96,176,24,328024,1970,94025
5109-5145 Parkhurst Dr,Santa Rosa,Sonoma,6/29/2015,7300100,1.98,19,11,8,0,12892,1972,95409
2370 San Juan Ave,Walnut Creek,Contra Costa,12/17/2014,2720000,1.96,7,1,6,0,8000,1960,94597
3508-3518 Agate Dr,Santa Clara,Santa Clara,2/18/2015,14250000,1.95,25,10,9,2,18536,1961,95051
327 Rheem Blvd,Moraga,Contra Costa,11/30/2016,5490000,1.94,14,0,14,0,11340,1964,94556
3809 Maybelle Ave,Oakland,Alameda,5/11/2016,3800000,1.91,8,0,8,0,7384,1968,94619
123 Ripley St,San Francisco,San Francisco,6/9/2015,2750000,1.91,5,0,4,1,5107,1968,94110
1433 Floribunda Ave,Burlingame,San Mateo,10/9/2015,4950000,1.88,5,0,2,0,3317,1907,94010
333 Rengstorff Ave,Mountain View,Santa Clara,7/2/2015,19000000,1.87,32,0,16,16,31736,1965,94043
1334 Daniel Ct,Milpitas,Santa Clara,8/29/2014,2850000,1.87,4,0,3,1,5013,1980,95035
1342 Daniel Ct,Milpitas,Santa Clara,8/29/2014,2850000,1.87,4,0,3,1,5013,1980,95035
1030 Green St,San Francisco,San Francisco,5/25/2012,2850000,1.85,5,5,0,0,6461,1915,94133
Cypress Glen,Hayward,Alameda,2/26/2016,22929816,1.79,54,18,18,18,43090,,94544
401 Harrison St,San Francisco,San Francisco,7/2/2015,410000000,1.79,299,84,175,40,50500,2005,94105
50 Casa Maria Ct,Alamo,Contra Costa,5/19/2015,5250000,1.74,12,0,11,1,11084,,94507
2375 Fruitvale Ave,Oakland,Alameda,12/5/2012,525000,1.73,1,40,0,0,12990,,94601
747 Kansas St,San Francisco,San Francisco,6/17/2016,1850000,1.71,3,2,0,1,2720,1976,94107
5065-5101 Parkhurst Dr,Santa Rosa,Sonoma,6/29/2015,7300100,1.67,16,0,16,0,26732,1968,95409
1633-1639 Washington St,San Francisco,San Francisco,6/10/2016,4320000,1.66,6,0,6,0,9246,1907,94109
6415 Snake Road,Oakland,Alameda,7/25/2014,2250000,1.61,4,1,4,0,4130,1961,94611
777 W Middlefield Rd,Mountain View,Santa Clara,12/23/2015,145000000,1.59,208,116,92,0,162680,1970,94043
144 Sanchez St,San Francisco,San Francisco,1/14/2016,3750000,1.59,5,2,0,3,6536,1901,94114
1810-1816A Hyde St,San Francisco,San Francisco,10/21/2016,3825000,1.56,5,4,1,0,4956,1907,94109
55 W 5th Ave,San Mateo,San Mateo,8/30/2012,93000000,1.53,87,57,20,7,90215,1964,94402
2054 Montecito Ave,Mountain View,Santa Clara,11/20/2015,23400000,1.52,32,32,0,0,17016,1964,94043
2648 Gough Street,San Francisco,San Francisco,3/26/2013,7650000,1.51,6,6,0,0,3864,1955,94123
2654 Gough Street,San Francisco,San Francisco,3/26/2013,7650000,1.51,6,6,0,0,3864,1955,94123
1570 Ebener St,Redwood City,San Mateo,5/31/2016,4450000,1.47,4,2,2,0,7414,,94061
741 Filbert St,Oakland,Alameda,3/25/2016,81000000,1.34,120,0,0,56,198960,1970,94607
925-959 Willowleaf Dr,San Jose,Santa Clara,9/30/2013,290400000,1.33,208,60,148,0,218840,1986,95128
27901 Huntwood Ave,Hayward,Alameda,2/26/2016,22929816,1.33,40,12,20,8,24437,,94544
43563 Ellsworth St,Fremont,Alameda,2/27/2015,1775000,1.29,3,0,0,3,3700,1975,94539
33891 11th St,Union City,Alameda,12/18/2013,2385100,1.28,4,0,4,0,3192,,94587
1001-1007 Page St,San Francisco,San Francisco,2/24/2015,7600000,1.26,8,6,0,0,16500,1900,94117
7034 Santero Way,Cotati,Sonoma,8/7/2015,4300000,1.24,7,7,0,0,7801,,94931
2044 Montecito Ave,Mountain View,Santa Clara,11/20/2015,23400000,1.24,26,18,8,0,15168,1963,94043
657 Walnut St,San Carlos,San Mateo,9/9/2016,8000100,1.23,6,0,6,0,7404,1956,94070
314-324 105th Ave,Oakland,Alameda,5/10/2016,3120000,1.16,4,22,26,0,33876,1963,94603
881-897 S Winchester Blvd,San Jose,Santa Clara,9/30/2013,290400000,1.15,216,96,96,0,155760,1971,95128
1304 Whipple Ave,Redwood City,San Mateo,12/31/2014,35200000,1.12,24,15,9,0,46906,1963,94062
25 Sanchez St,San Francisco,San Francisco,11/16/2015,86150000,1.1,90,14,1,0,517232,1972,94114
236-244 Calle Marguerita,Los Gatos,Santa Clara,10/1/2012,12375000,1.08,12,0,12,0,43426,1963,95032
207 Bennett Hill Ct,Vacaville,Solano,3/24/2014,3860000,1.03,8,0,8,0,47312,1969,95688
219 Bennett Hill Ct,Vacaville,Solano,3/24/2014,3860000,1.03,8,0,8,0,6000,1969,95688
1601 Market St,Oakland,Alameda,3/25/2016,81000000,1,77,34,21,11,98376,1971,94607
33867 11th St,Union City,Alameda,12/18/2013,2385100,0.96,3,0,2,1,3120,1964,94587
2750 Mckee Rd,San Jose,Santa Clara,4/29/2016,13500000,0.74,9,1,7,1,9755,1964,95127
248-252 Calle Marguerita,Los Gatos,Santa Clara,10/1/2012,12375000,0.72,8,0,8,0,6656,1963,95032
256-260 Calle Marguerita,Los Gatos,Santa Clara,10/1/2012,12375000,0.72,8,0,8,0,6656,1963,95032
2360 Redwood Rd,Napa,Napa,6/1/2015,298890000,0.68,115,109,6,0,105060,2003,94558
734 Harris Ct,Hayward,Alameda,2/26/2016,22929816,0.66,20,12,5,3,8932,1964,94544
318 N Fairoaks Ave,Sunnyvale,Santa Clara,10/15/2013,10200000,0.65,6,4,2,0,4556,1948,94085
1180 Lochinvar Ave,Sunnyvale,Santa Clara,9/30/2013,290400000,0.57,148,74,74,0,119640,1974,94087
20200 Lucille Ave,Cupertino,Santa Clara,9/30/2013,290400000,0.46,120,0,120,0,137640,1969,95014
355 N Wolfe Rd,Sunnyvale,Santa Clara,2/27/2013,814300000,0.44,192,60,96,36,204060,1991,94085
1099 Admiral Ct,San Bruno,San Mateo,2/27/2013,6082209574,0.42,672,135,269,268,517626,2005,94066
299 E Washington Ave,Sunnyvale,Santa Clara,4/1/2014,5960422000,0.27,280,134,134,0,210000,2013,94086
1001-1101 Park Pl,San Mateo,San Mateo,2/27/2013,8737160000,0.25,575,306,231,38,520000,2003,94403
960 Saint Francis Blvd,Daly City,San Mateo,2/27/2015,1700000000,0.25,256,132,32,0,155752,1974,94015
700 Saratoga Ave,San Jose,Santa Clara,2/27/2013,6082209574,0.22,867,358,168,0,895194,1970,95129
1271-1281 Lawrence Station Rd,Sunnyvale,Santa Clara,4/1/2014,5960422000,0.21,336,168,168,0,153934,2013,94089
101 McLellan Dr,South San Francisco,San Mateo,2/27/2013,8737160000,0.19,360,263,97,0,316593,2006,94080
3200 Rubino Dr,San Jose,Santa Clara,2/27/2013,6082209574,0.18,412,200,212,0,395000,2002,95125
33 San Pablo Ave,San Rafael,Marin,2/27/2015,1700000000,0.17,82,34,48,0,100000,2011,94903
700 Bounty Dr,Foster City,San Mateo,4/1/2014,5960422000,0.16,490,276,214,0,415130,1987,94404
3595 Granada Ave,Santa Clara,Santa Clara,4/1/2014,5960422000,0.15,270,125,145,0,400000,2010,95051
2717 S Norfolk St,San Mateo,San Mateo,4/1/2014,5960422000,0.14,308,164,144,0,223972,1988,94403
1650 Hope Dr,Santa Clara,Santa Clara,2/27/2013,8737160000,0.13,450,210,210,30,462250,2000,95054
850 Davit Ln,Redwood City,San Mateo,2/27/2013,8737160000,0.1,452,256,196,0,230720,1986,94065
101 Embarcadero West,Oakland,Alameda,4/1/2014,5960422000,0.1,282,126,144,0,257796,2001,94607
5608 Stevens Creek Blvd,Cupertino,Santa Clara,2/27/2013,8737160000,0.09,311,105,172,34,296488,1999,95014
555 W Middlefield Rd,Mountain View,Santa Clara,2/27/2013,6082209574,0.07,402,201,122,0,262686,1969,94043
1 Saint Francis Pl,San Francisco,San Francisco,2/27/2013,8737160000,0.06,410,227,161,2,390465,1987,94107
870 E El Camino Real,Mountain View,Santa Clara,2/27/2013,8737160000,0.04,180,132,48,0,137448,1965,94040
Pinnacle City Center,Hayward,Alameda,4/1/2014,5960422000,0.03,192,78,82,20,175420,,94544
22800 Meridian Dr,Hayward,Alameda,4/1/2014,5960422000,0.03,192,78,82,20,175420,,94541
401 Sherwood Dr,Sausalito,Marin,2/27/2013,8737160000,0.03,198,81,117,0,148314,1980,94965
