"Property: ID","Property: Property Name","City","Zip Code","Prop Sale GRM","Square Footage","Last Price"
"a0F1a000000pEy7","Vita Apts","Hayward","94544","7.03","44048","1550000.00"
"a0F1a000000pEyA","637 Memorial Way","Hayward","94541","8.30","4800","510000.00"
"a0F1a000000pG9u","313 Camelback Rd","Pleasant Hill","94523","12.00","5808","1462000.00"
"a0F1a000000pGOs","1907 Haste St","Berkeley","94704","13.60","8041","1600000.00"
"a0F1a000000pGQg","2545-2555 Benvenue Ave","Berkeley","94704","6.22","14168","1050000.00"
"a0F1a000000pGQk","3242-3250 California St","Berkeley","94703","4.01","6375","250000.00"
"a0F1a000000pGSd","407 Cornell Ave","Albany","94706","10.50","10754","1947000.00"
"a0F1a000000p9ft","69-71 Pearl St","San Francisco","94103","16.70","6711","834000.00"
"a0F1a000000pErC","80 Castro St","San Leandro","94577","8.60","25949","2943605.00"
"a0F1a000000pHQf","2321-2323 10th St","Berkeley","94710","7.98","5544","938000.00"
"a0F1a000000pHQk","19911-19921 Anita Ave","Castro Valley","94546","14.36","10144","1187000.00"
"a0F1a000000pEyG","1821 Hill Ave","Hayward","94541","9.70","36568","1710000.00"
"a0F1a000000pE5Z","2108 90th Ave","Oakland","94603","6.80","7685","400000.00"
"a0F1a000000pGOv","Bayside Commons","Albany","94706","7.57","271550","23600000.00"
"a0F1a000000pGOw","2315 Hearst Ave","Berkeley","94709","9.53","8869","1095000.00"
"a0F1a000000pGOy","2315 Woolsey St","Berkeley","94705","8.54","8400","410000.00"
"a0F1a000000pGQo","2021 Francisco St","Berkeley","94709","6.28","10414","620000.00"
"a0F1a000000pGQp","2420 Virginia St","Berkeley","94709","6.52","12947","740000.00"
"a0F1a000000pErP","1430 167th Ave","San Leandro","94578","11.51","5355","910000.00"
"a0F1a000000pFRQ","2256 Pacific Ave","Alameda","94501 -14","8.60","5520","835000.00"
"a0F1a000000pHQo","2335 Market St","Oakland","94607","14.79","10050","1325000.00"
"a0F1a000000pHQp","20691-20699 Marion St","Hayward","94541","13.54","5083","975000.00"
"a0F1a000000pHSZ","29393-29401 Dixon St","Hayward","94544","13.75","7452","1880000.00"
"a0F1a000000pHSd","2128 Alameda Ave","Alameda","94501","12.78","5575","1050000.00"
"a0F1a000000pExA","361 Willow Ave","Hayward","94541","8.68","4200","479000.00"
"a0F1a000000pEyK","27051 Belvedere Ct","Hayward","94544","9.84","4662","340000.00"
"a0F1a000000pE3t","4223 Terrace St","Oakland","94611","16.81","5020","1050000.00"
"a0F1a000000p9On","3015 Van Ness Ave","San Francisco","94109","11.20","7521","3000000.00"
"a0F1a000000pGAB","100 Village Dr","Brentwood","94513","7.40","37058","7520000.00"
"a0F1a000000pGAD","1101 Carey Dr","Concord","94520","9.92","59920","7750000.00"
"a0F1a000000pGP2","1927 Dwight Way","Berkeley","94704","8.11","24990","2350000.00"
"a0F1a000000pGP3","1542 Berkeley Way","Berkeley","94703","6.94","8727","500000.00"
"a0F1a000000pGP8","2610 Etna St","Berkeley","94704","10.92","7196","1650000.00"
"a0F1a000000pGQt","3126 College Ave","Berkeley","94705","10.79","7620","1375000.00"
"a0F1a000000pGQu","1360 Berkeley Way","Berkeley","94702","4.65","11011","507000.00"
"a0F1a000000pGSo","Edendale Apartments","San Leandro","94578","6.90","56082","4525000.00"
"a0F1a000000pEpa","1500 164th Ave","San Leandro","94578","6.39","17458","1430000.00"
"a0F1a000000pErS","14740 Martell Ave","San Leandro","94578","8.01","4103","640000.00"
"a0F1a000000pErW","511 Bancroft Ave","San Leandro","94577","11.29","5134","580000.00"
"a0F1a000000pFPc","1520 Willow St","Alameda","94501 -27","10.71","4252","607500.00"
"a0F1a000000pFRX","Casa Bonita","Alameda","94501","8.52","17829","2575000.00"
"a0F1a000000pFRa","1850 Thau Way","Alameda","94501","10.76","15500","3650000.00"
"a0F1a000000pHSi","Casa Walnut","Lafayette","94549","10.82","4570","1380000.00"
"a0F1a000000pHSk","4106 Terrace St","Oakland","94611","15.51","5938","956000.00"
"a0F1a000000pExG","Walnut Manor Apts","Hayward","94541","5.92","27246","2800000.00"
"a0F1a000000pEyX","Park Royal","Hayward","94541","7.00","19012","1350000.00"
"a0F1a000000p9Ot","1456 Page St","San Francisco","94117","10.59","9420","2015000.00"
"a0F1a000000p9Ow","536 Mason St","San Francisco","94102","13.00","13124","1400000.00"
"a0F1a000000pGAI","1215 A St","Antioch","94509","11.62","10052","985000.00"
"a0F1a000000pGAJ","1271 Lakeview Cir","Pittsburg","94565","7.57","99352","13750000.00"
"a0F1a000000pGAM","420 Grangnelli Ave","Antioch","94509","11.07","26712","3015000.00"
"a0F1a000000pGP9","1569 Spruce St","Berkeley","94709","6.63","9376","1000000.00"
"a0F1a000000pGR4","2302--2310 Dwight Way","Berkeley","94704","7.00","13254","1085000.00"
"a0F1a000000pGSw","1505 Roosevelt Ave","Richmond","94801","9.60","5280","1370000.00"
"a0F1a000000pGSy","2321 Dwight Way","Berkeley","94704","10.93","15579","3100000.00"
"a0F1a000000pGT0","24545 O'Neil Ave","Hayward","94544","9.12","25463","3550000.00"
"a0F1a000000pGT1","1846 Spruce St","Berkeley","94709","10.88","12674","2125000.00"
"a0F1a000000pEpf","144 Belleview Dr","San Leandro","94577","13.12","6074","1150000.00"
"a0F1a000000pEpm","612 Sybil Ave","San Leandro","94577","10.48","4016","415000.00"
"a0F1a000000pErY","Stoakes Apts","San Leandro","94577","7.63","11025","1710000.00"
"a0F1a000000pFPk","2119 Central Ave","Alameda","94501","13.49","5952","1590000.00"
"a0F1a000000pHPv","2028 Pacific Ave","Alameda","94501","12.91","5052","1108000.00"
"a0F1a000000pHR4","185 Belleview Dr","San Leandro","94577","11.65","4618","750000.00"
"a0F1a000000pHR5","Forest Acres Apartments","Castro Valley","94546","11.09","18463","2500000.00"
"a0F1a000000pHSo","1530-1534 Stanton St","Alameda","94501","11.76","6139","1439000.00"
"a0F1a000000pHSp","522 16th St","Richmond","94801","7.17","3260","397500.00"
"a0F1a000000pHSq","1993 El Dorado Ave","Berkeley","94707","14.00","6855","1300000.00"
"a0F1a000000pHSs","2740 College Ave","Berkeley","94705","11.55","15765","2888000.00"
"a0F1a000000pEva","212 Smalley Ave","Hayward","94541","9.49","7760","840000.00"
"a0F1a000000pExM","Buckeye Apartments","San Lorenzo","94580","8.45","15252","2125000.00"
"a0F1a000000pKrP","1300-1326 Grant Ave.","San Francisco","94133","12.60","15800","4675000.00"
"a0F1a000000pLJU","985 Church St","San Francisco","94114","13.40","4626","1364000.00"
"a0F1a000000pLLc","3947 18th St","San Francisco","94114","11.88","5010","2795000.00"
"a0F1a000000pE45","4609 Bond St","Oakland","94601","7.20","15464","1820000.00"
"a0F1a000000pGPI","1590 Oregon St","Berkeley","94703","7.37","12677","860000.00"
"a0F1a000000pGPM","605 San Pablo Ave","Albany","94706","11.49","4323","665000.00"
"a0F1a000000pEp7","Sun Valley Apartments","San Leandro","94578","8.33","15680","1600000.00"
"a0F1a000000p9eI","3201 Gough St","San Francisco","94123","13.74","13761","4800000.00"
"a0F1a000000pEpq","1411 Bancroft Ave","San Leandro","94577","12.14","4473","550000.00"
"a0F1a000000pEps","300 Warren Ave","San Leandro","94577","9.28","10950","948500.00"
"a0F1a000000pEpt","1336 141st Ave","San Leandro","94578","7.22","7756","725000.00"
"a0F1a000000pHPw","736-756 Stubbs Rd","Pleasant Hill","94523","12.39","6788","1291500.00"
"a0F1a000000pHPx","852 Division St","Pleasanton","94566","11.35","9240","1975000.00"
"a0F1a000000pHSv","2045 Camel Ln","Walnut Creek","94596","13.26","4421","1030000.00"
"a0F1a000000pHSw","Camelback East Apartments","Walnut Creek","94598","15.14","4710","1260000.00"
"a0F1a000000pEvk","Plaza Verde Apartments","Hayward","94544","7.07","31006","6950000.00"
"a0F1a000000pEvl","503 Harris Rd","Hayward","94544","8.33","4797","405000.00"
"a0F1a000000pE3K","381 Oakland Ave","Oakland","94611","9.56","12594","1923545.00"
"a0F1a000000pG7n","Lafayette Commons","Lafayette","94549","5.00","43020","7340000.00"
"a0F1a000000pGRN","1315 Martin Luther King Jr Way","Berkeley","94709","8.26","5208","540000.00"
"a0F1a000000pGRO","2942--2944 M.L. King Jr Way","Berkeley","94703","6.54","3360","240000.00"
"a0F1a000000pGTC","The Royale","San Leandro","94578","7.38","19626","1700000.00"
"a0F1a000000pEpv","529 Callan Ave","San Leandro","94577","11.59","6525","840000.00"
"a0F1a000000pEpx","520 Bancroft Ave","San Leandro","94577","11.87","6798","832000.00"
"a0F1a000000pErp","1255 Hays St","San Leandro","94577","7.68","18805","1230000.00"
"a0F1a000000pHQ8","2107 Willow Pass Rd","Pittsburg","94565","10.84","4833","735000.00"
"a0F1a000000pHQD","16020 Maubert Ave","San Leandro","94578","11.84","5588","1000000.00"
"a0F1a000000pHT1","627-637 Marin Ave","Hayward","94541","11.39","6376","810000.00"
"a0F1a000000pEvp","26903 Huntwood Ave","Hayward","94544","10.30","7448","1317500.00"
"a0F1a000000pEvq","454 34th St","Oakland","94609","9.53","12519","560500.00"
"a0F1a000000pLJk","1007-1017 Valencia St","San Francisco","94110","11.80","14342","3150000.00"
"a0F1a000000pE3O","2736 Myrtle St","Oakland","94607","9.38","5426","70000.00"
"a0F1a000000pE4L","480 Crescent St","Oakland","94610","10.00","16697","3380000.00"
"a0F1a000000pGRQ","2925 Ellis St","Berkeley","94703","6.46","7686","445000.00"
"a0F1a000000pGRS","2333 Channing Way","Berkeley","94704","7.74","16301","576500.00"
"a0F1a000000pGRT","2030 Delaware St","Berkeley","94709","7.94","14022","1325000.00"
"a0F1a000000pGRU","2540 College Ave","Berkeley","94704","6.80","29468","1680000.00"
"a0F1a000000pGRV","2442 Piedmont Ave","Berkeley","94704","7.79","15651","1475000.00"
"a0F1a000000pGTM","736-756 Stubbs Rd","Pleasant Hill","94523","11.04","3300","1291500.00"
"a0F1a000000pEpL","2601 Marina Blvd","San Leandro","94577","7.04","16652","1725000.00"
"a0F1a000000pEq1","15991 Mateo St","San Leandro","94578","8.18","7508","1350000.00"
"a0F1a000000pEq6","Westmont Apartments","San Leandro","94578","5.03","30392","1525000.00"
"a0F1a000000pEq7","15945 Maubert Ave","San Leandro","94578","9.52","9735","1300000.00"
"a0F1a000000pEru","1584 164th Ave","San Leandro","94578","9.55","23559","2000000.00"
"a0F1a000000pErx","Marina Apartments","San Leandro","94577","12.91","16431","3350000.00"
"a0F1a000000pEs0","1648 Pacific Ave","San Leandro","94577","12.09","8928","1335000.00"
"a0F1a000000pHRJ","170 Village Ct","Walnut Creek","94596","17.75","3959","1100000.00"
"a0F1a000000pEvu","The Timbers","Hayward","94544","7.17","94150","8175000.00"
"a0F1a000000pEw0","25638 Soto Rd","Hayward","94544","7.75","5100","380000.00"
"a0F1a000000pG87","Toyon Court","Berkeley","94704","8.35","8751","2315000.00"
"a0F1a000000pGNn","2601 Channing Way","Berkeley","94704","7.11","34635","3149500.00"
"a0F1a000000pGPh","2910 Wheeler St","Berkeley","94705","10.13","7140","1304000.00"
"a0F1a000000pGRY","Dolores Apartments","Albany","94706","9.25","7300","1000000.00"
"a0F1a000000pGW7","1310 Burnett St","Berkeley","94702","9.12","3602","1040000.00"
