Address,Type,SaleDate,SalePrice,GRM,Cap,PricePerSF,PricePerUnit,BldgSF,NumberOfUnits,Age,BuildingCondition,BuildingClass,BuildingMaterials,Latitude,Longitude,1Bedrooms,2Bedrooms,3Bedrooms,Floors,ZipCode,Rating,Vacancy,Zoning,SaleCondition,YearBuilt
555 S Park Victoria Dr,Multi-Family,8/12/2016,46000000,,5.25,413.74,335766,111182,137,44,Good,A,Wood Frame,37.426974,-121.88237,40,65,32,2,95035,3 Star,0,R3,,1973
555 S Park Victoria Dr,Multi-Family,4/2/2008,27500000,,4.6,247.34,200730,111182,137,44,Good,A,Wood Frame,37.426974,-121.88237,40,81,16,2,95035,3 Star,0,R3,,1973
555 S Park Victoria Dr,Multi-Family,5/22/2001,21050000,,7.25,189.33,153650,111182,137,44,Good,A,Wood Frame,37.426974,-121.88237,40,81,16,2,95035,3 Star,0,R3,,1973
156 N Murrieta Blvd,Multi-Family,11/24/2010,16700000,,5.61,170.38,133600,98014,125,36,Good,C,Wood Frame,37.681673,-121.791245,40,82,3,2,94551,2 Star,0,PUD-1180,,1981
37200 Paseo Padre Pky,Multi-Family,12/22/2005,19700000,11.74,5.19,185.41,147015,106249,134,31,Good,B,,37.563719,-122.004371,40,94,0,2,94536,3 Star,0,R-G-24,,1986
10410 Foothill Blvd,Multi-Family,9/7/2016,6210000,10.11,,183.4,155250,33860,40,77,Good,C,Wood Frame,37.745265,-122.150785,39,1,0,2,94605,2 Star,5,N/Av,,1940
1350 Sutter St,Multi-Family,9/14/2000,5225000,8.68,8.42,137.5,127439,38000,41,107,Good,C,Masonry,37.787697,-122.422845,39,0,0,5,94109,2 Star,0,NC-3,,1910
1722 27th Ave,Multi-Family,12/2/2016,4006518,10.04,6.9,166.14,89034,24115,45,52,Good,C,Masonry,37.783245,-122.228479,39,6,0,3,94601,2 Star,0,R40,1031 Exchange,1965
2089 Pacific Blvd,Multi-Family,3/3/2015,73625000,,,556.39,663288,132327,111,3,Good,B,Wood Frame,37.5493783,-122.3055292,39,64,8,3,94403,4 Star,0,0,,2014
2500 Deer Valley Rd (Part of Portfolio),Multi-Family,4/1/2014,,,,,,167238,171,21,Good,A,Wood Frame,38.021905,-122.53013,38,93,40,3,94903,4 Star,4.09,MF,Bulk/Portfolio Sale,1996
